Group,Task Number,Latency (Edge),Data Transmission Latency (Edge),Throughput (Edge)
6,Task 13,0.005384588241577148,0.9765625,140050.6265185582
6,Task 14,0.004227523803710938,0.9765625,210027.78040755968
6,Task 15,0.004243230819702149,0.48828125,100653.80937846607
6,Task 16,0.0031948614120483397,0.48828125,132622.93718040563
6,Task 17,0.0034959745407104493,0.29296875,71314.645200712
6,Task 18,0.0029619550704956055,0.29296875,90833.31468480987
6,Task 19,0.0037274408340454103,0.1953125,60331.38683178441
6,Task 20,0.0034936094284057618,0.1953125,80128.6713203216
6,Task 21,0.0013320064544677735,0.000762939453,286.0432730144484
6,Task 22,0.0015762615203857421,0.0457763672,20256.89065903372
6,Task 23,0.0015061712265014649,0.0915527344,32193.669958206527
6,Task 24,0.0016847467422485352,0.183105469,68696.86063033072
6,Task 25,0.00022461891174316406,0.000762939453,750.7471128580736
7,Task 1,0.001785874366760254,6.7024231,4919159.020092117
7,Task 2,0.05530087947845459,61.1328125,50087511.38798309
7,Task 3,0.04607417583465576,30.5664062,26835914.940480184
7,Task 4,0.026216154098510743,30.5664062,24233245.67094011
7,Task 5,0.02538710117340088,15.3320312,91693935.40751055
7,Task 6,0.01522371768951416,15.3320312,363393.8590041677
7,Task 7,0.014859342575073242,7.71484375,219472.184077442
7,Task 8,0.009074678421020508,7.71484375,385716.3778486651
7,Task 9,0.009155907630920411,3.90625,201677.2204525831
7,Task 10,0.0061427831649780275,3.90625,336317.3243501861
7,Task 11,0.006383910179138184,1.953125,172282.1845627569
7,Task 12,0.004607024192810058,1.953125,282103.66045258834
7,Task 13,0.0052172279357910155,0.9765625,139800.4492397141
7,Task 14,0.004344654083251953,0.9765625,208374.60245995488
7,Task 15,0.0044317483901977536,0.48828125,100252.03708088494
7,Task 16,0.003473372459411621,0.48828125,138918.30674534215
7,Task 17,0.0037045192718505857,0.29296875,73602.3046579389
7,Task 18,0.003026847839355469,0.29296875,88384.48185789232
7,Task 19,0.004070553779602051,0.1953125,57765.01223901314
7,Task 20,0.003772525787353516,0.1953125,73703.58433813506
7,Task 21,0.001481790542602539,0.000762939453,269.940558171385
7,Task 22,0.0015997600555419922,0.0457763672,19822.601988733033
7,Task 23,0.001492924690246582,0.0915527344,29480.018321175838
