Group,Task Number,Latency (Server),Throughput (Server)
7,Task 14,0.0006700992584228515,1361731.7478998418
7,Task 15,0.0008800363540649414,627358.6082144143
7,Task 16,0.0006800699234008789,889018.0893272307
7,Task 17,0.0007398366928100586,468253.1023775882
7,Task 18,0.0007000398635864257,573049.4328613108
7,Task 19,0.0007599687576293945,290897.0735328381
7,Task 20,0.0007400274276733399,376431.8802981328
7,Task 21,0.00023999214172363282,1351.6496406818987
7,Task 22,0.0004801797866821289,85709.40473676682
7,Task 23,0.0005797910690307618,157901.22790615962
7,Task 24,0.0004600381851196289,324312.3038757692
7,Task 25,5.999088287353516e-05,4166.803099543016
8,Task 1,0.00029997825622558595,29285455.921157207
8,Task 2,0.0039008474349975586,235677754.10723552
8,Task 3,0.0023201894760131836,105473635.10921416
8,Task 4,0.001789841651916504,62584951.75270019
8,Task 5,0.0018801259994506835,143548372.19251338
8,Task 6,0.0013096332550048828,5151701.094409138
8,Task 7,0.001659727096557617,4358264.747142808
8,Task 8,0.0010599422454833985,5649661.79503779
8,Task 9,0.001120147705078125,2723221.7423172225
8,Task 10,0.0008598709106445312,3909491.440014564
8,Task 11,0.001020050048828125,1542422.2483983107
8,Task 12,0.0006000328063964843,2415225.934156897
8,Task 13,0.0009001493453979492,1142706.4432638607
8,Task 14,0.0007998847961425781,1488595.5370214276
8,Task 15,0.0007400321960449219,627420.1944652207
8,Task 16,0.0006799364089965821,1066608.347372771
8,Task 17,0.0008413171768188476,426595.8776321017
8,Task 18,0.0006389665603637695,480069.1322698333
8,Task 19,0.0006799745559692383,345930.895126163
8,Task 20,0.0008000659942626953,376505.797619799
8,Task 21,0.00024005413055419922,1188.612365886974
8,Task 22,0.00033998966217041015,93901.62759979404
8,Task 23,0.0003798484802246094,176477.19160454694
8,Task 24,0.0006401538848876953,299975.2541928409
8,Task 25,0.00013999462127685546,4165.7271120116
9,Task 1,9.992122650146485e-05,87919257.07468385
9,Task 2,0.0040005302429199216,133526631.69537856
9,Task 3,0.0025005865097045897,62609202.61702857
9,Task 4,0.0017395687103271484,58923570.55655296
9,Task 5,0.0018998575210571289,334957610.80909234
9,Task 6,0.0016396617889404296,5023334.103164349
9,Task 7,0.0015798139572143555,4043851.2967882063
9,Task 8,0.001181488037109375,5812935.091306803
9,Task 9,0.0012183952331542968,2694938.9326580144
9,Task 10,0.0009200382232666016,3122595.180624786
9,Task 11,0.0011600255966186523,1620443.9695633408
9,Task 12,0.000780038833618164,2166759.13728529
9,Task 13,0.0008798885345458984,1050562.219195667
9,Task 14,0.0008899974822998047,1391246.5456656266
9,Task 15,0.0009601736068725586,551711.9638269448
9,Task 16,0.0007600927352905273,820471.9719291383
9,Task 17,0.0007600212097167969,436418.9154915838
9,Task 18,0.0007502317428588867,431461.89470977144
9,Task 19,0.0009399938583374023,266618.4512546992
9,Task 20,0.0007400798797607422,336801.0087639505
9,Task 21,0.0003600120544433594,1315.7527542851406
9,Task 22,0.0006000900268554688,79975.28839736867
9,Task 23,0.0006399059295654297,127660.40856080475
9,Task 24,0.000679931640625,324289.3187119055
9,Task 25,5.9995651245117184e-05,2777.6847682119205
10,Task 1,0.00040001869201660155,21961473.73942067
10,Task 2,0.003990969657897949,143040054.69619843
10,Task 3,0.0024804067611694336,100204293.10784863
10,Task 4,0.001639714241027832,66774458.36585153
10,Task 5,0.0020001792907714845,1005112487.2883377
10,Task 6,0.0014194869995117188,5035367.773400863
10,Task 7,0.001619858741760254,4076750.7000474837
10,Task 8,0.0010198974609375,6166928.2043079855
10,Task 9,0.0012402772903442384,2559770.528383571
10,Task 10,0.0008997249603271484,3606936.8735051462
10,Task 11,0.000919957160949707,1580384.71750822
10,Task 12,0.000880136489868164,2510056.2537402753
10,Task 13,0.0008999872207641602,1032027.2812902482
10,Task 14,0.0007201051712036133,1422656.9856799128
10,Task 15,0.0008799028396606445,695684.567898035
10,Task 16,0.0006600427627563477,727159.9432218358
10,Task 17,0.000879964828491211,426672.72505708877
10,Task 18,0.0006401157379150391,533255.4401160134
10,Task 19,0.0008197593688964844,290941.21357618587
10,Task 20,0.0007800054550170898,387853.658043216
10,Task 21,0.0003201675415039063,1136.4090559330666
10,Task 22,0.0005601787567138672,93733.04926923019
10,Task 23,0.0003998231887817383,146384.4202982852
10,Task 24,0.0005999898910522461,307690.1558268482
10,Task 25,1.999378204345703e-05,3123.3647086858095
11,Task 1,0.0005000352859497071,17568760.139226623
11,Task 2,0.003930583000183106,154096411.20597163
11,Task 3,0.00240109920501709,71548652.16850747
11,Task 4,0.001799001693725586,66771274.40973354
11,Task 5,0.0019002628326416015,143519041.68908566
11,Task 6,0.0012793874740600587,5112727.551883227
11,Task 7,0.0016199350357055664,4211404.501268005
11,Task 8,0.0010999917984008789,5620895.208307932
11,Task 9,0.0012001371383666992,2694364.1227158895
11,Task 10,0.0008999729156494141,4001915.059987253
11,Task 11,0.0009600257873535156,1580310.2862609464
11,Task 12,0.0008020401000976562,2327290.079545701
11,Task 13,0.0009578752517700195,1066544.779825736
11,Task 14,0.0006401443481445313,1422265.023471691
11,Task 15,0.0008398151397705078,666648.7592633064
11,Task 16,0.0007200574874877929,797965.0891795482
11,Task 17,0.0008999490737915039,400887.275551197
11,Task 18,0.0006600522994995117,599864.7041296704
11,Task 19,0.0006798744201660156,304828.98899626394
11,Task 20,0.0008400249481201172,355527.16893918824
11,Task 21,0.0002999401092529297,1111.1739865312372
11,Task 22,0.0005199861526489258,90901.88769207429
11,Task 23,0.0005599546432495117,176503.18417730398
11,Task 24,0.0006000185012817382,285705.80021116446
11,Task 25,0.00014002323150634765,3333.9989189532926
12,Task 1,0.00030007362365722654,29276148.609566186
12,Task 2,0.0039313316345214845,121382410.6328419
12,Task 3,0.0025199079513549805,100152932.01735565
12,Task 4,0.0017799139022827148,58931423.00996682
12,Task 5,0.001959853172302246,inf
12,Task 6,0.0014994192123413087,5111753.947068384
12,Task 7,0.0014799308776855468,4012844.990850826
12,Task 8,0.0011998224258422852,5681173.671957672
12,Task 9,0.001179957389831543,2612440.6013464364
12,Task 10,0.0008812189102172851,3414655.4598331694
12,Task 11,0.0010189199447631836,1729810.5192612547
12,Task 12,0.0008999776840209961,2133649.0674466756
12,Task 13,0.0009205341339111328,1084784.93463458
12,Task 14,0.0008396625518798829,1452533.5137036336
12,Task 15,0.0006998014450073242,628116.0784900999
12,Task 16,0.0008999490737915039,711128.7439267983
12,Task 17,0.0008399677276611328,417149.1157731158
12,Task 18,0.0007000541687011718,457326.5761826339
12,Task 19,0.0007198667526245118,365818.05000034074
12,Task 20,0.0008600234985351562,284460.54055199673
12,Task 21,0.00027997970581054686,1190.5219296751707
12,Task 22,0.0006601285934448243,85707.65332534126
12,Task 23,0.0004000282287597656,166697.5166758298
12,Task 24,0.0006798410415649414,279062.1423819029
12,Task 25,0.0,3571.687444648818
13,Task 1,0.0004997730255126953,17577979.505772352
13,Task 2,0.003960542678833008,129229192.17121808
13,Task 3,0.0023804378509521486,83475204.64168976
13,Task 4,0.0016616487503051758,60704360.06907066
13,Task 5,0.0018580102920532228,501957677.3701763
13,Task 6,0.0015395784378051758,5074052.126089291
